canonical_smiles	molecule_chembl_id	standard_type	standard_value	type	value
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	CHEMBL1173655	Ki	45.3	Ki(app)	45.3
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C	CHEMBL180022	Ki	4.51	Ki(app)	4.51
C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1	CHEMBL31965	Ki	7.1	Ki(app)	7.1
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353410	Ki	14.4	Ki(app)	14.4
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353410	Ki	4.47	Ki(app)	4.47
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	CHEMBL3353410	Ki	7.98	Ki(app)	7.98
CCN(CC)c1nc2oc(C)c(C(=O)NN)c2c(=O)n1-c1ccccc1	CHEMBL5573322	IC50	32360.0	IC50	32.36
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1	CHEMBL1336	IC50	1830.0	IC50	1.83
CCCNc1nc2oc(C)c(C(=O)NNC(=O)c3cc4ccccc4oc3=O)c2c(=O)n1-c1ccccc1	CHEMBL5569412	IC50	1530.0	IC50	1.53
CCN(CC)c1nc2oc(C)c(C(=O)NNC(=O)c3cc4ccccc4oc3=O)c2c(=O)n1-c1ccccc1	CHEMBL5575693	IC50	3010.0	IC50	3.01
CCCCNc1nc2oc(C)c(C(=O)NNC(=O)c3cc4ccccc4oc3=O)c2c(=O)n1-c1ccccc1	CHEMBL5590915	IC50	3090.0	IC50	3.09
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccccc4)cc3F)ncnc2cc1OC	CHEMBL5583867	IC50	386.7	IC50	386.7
C/C=C/C(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccccc4)cc3F)ncnc2cc1OC	CHEMBL5569064	IC50	2887.0	IC50	2887.0
CCC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccccc4)cc3F)ncnc2cc1OC	CHEMBL5571542	IC50	1442.0	IC50	1442.0
CCCC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccccc4)cc3F)ncnc2cc1OC	CHEMBL5570716	IC50	2654.0	IC50	2654.0
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(F)cc4)cc3F)ncnc2cc1OC	CHEMBL5571590	IC50	782.0	IC50	782.0
C/C=C/C(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(F)cc4)cc3F)ncnc2cc1OC	CHEMBL5569952	IC50	4543.0	IC50	4543.0
CCC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(F)cc4)cc3F)ncnc2cc1OC	CHEMBL5574213	IC50	6874.0	IC50	6874.0
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(C)cc4)cc3F)ncnc2cc1OC	CHEMBL5570611	IC50	1793.0	IC50	1793.0
C/C=C/C(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(C)cc4)cc3F)ncnc2cc1OC	CHEMBL5563703	IC50	7653.0	IC50	7653.0
CCC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(C)cc4)cc3F)ncnc2cc1OC	CHEMBL5571083	IC50	8432.0	IC50	8432.0
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(OC)cc4)cc3F)ncnc2cc1OC	CHEMBL5568662	IC50	567.2	IC50	567.2
CCCC(=O)Nc1cc2c(Oc3ccc(NC(=O)CCCc4ccc(OC)cc4)cc3F)ncnc2cc1OC	CHEMBL5571786	IC50	7644.0	IC50	7644.0
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)NCCc4ccc(OC)c(OC)c4)cc3F)ncnc2cc1OC	CHEMBL5570486	IC50	2353.0	IC50	2353.0
C=CC(=O)Nc1cc2c(Oc3ccc(NC(=O)NCCC4CCCCC4)cc3F)ncnc2cc1OC	CHEMBL5568892	IC50	1280.0	IC50	1280.0
CCC(=O)Nc1cc2c(Oc3ccc(NC(=O)NCCC4CCCCC4)cc3F)ncnc2cc1OC	CHEMBL5565454	IC50	4689.0	IC50	4689.0
